region,origin_coord,destination_coord,datetime,datasource
sjyowatmzvelodvpcapj,POINT (32.1000021779489 52.3608651273105),POINT (36.0572867704331 85.6013567441381),2023-01-19-17:51:50,xrochwddjqdkypdicqes
fhkslwqlzzxubtpgtsen,POINT (63.1516134869661 81.7910647785678),POINT (59.2539972077657 51.6851458563749),2023-01-19-17:51:50,qswxrwodcpewdhhfbbif
kqfldhwbsiwninjbqxnq,POINT (55.998356644167 28.5925872371028),POINT (58.661635400419 62.6875147051213),2023-01-19-17:51:50,vuqmlsaiomxpxmkcecwh
ovapseiqbneegdswbmjn,POINT (42.0772382273294 52.6718930397029),POINT (42.2185052872491 88.0701904303894),2023-01-19-17:51:50,yasqfncpubqjbksjzdxj
wlckisfmgyzpiykuzdbo,POINT (21.7195009995384 83.2940926529247),POINT (64.5890306405504 66.4789869656264),2023-01-19-17:51:50,wrfxwvnkmkkwvewqrqob
nhqofeuxsuawvubavvlv,POINT (61.0883397202267 86.2075431309119),POINT (6.2139745300867 30.8099221232628),2023-01-19-17:51:50,yrxibwccxrycjcadzlxf
gcmlujatetctqifxdjen,POINT (73.2205798080246 91.6745789264823),POINT (82.3388205992989 86.5847172970368),2023-01-19-17:51:50,bmryslwgumivcbrusxze
tflhhnrvcmwpudubxhel,POINT (51.303747188724 74.7732600755733),POINT (42.3740681197712 47.6425156560661),2023-01-19-17:51:50,pkbkysazrcgmvgjiayxw
yyldoitknhdbbjhmvmwg,POINT (43.1242496865796 13.1801044106143),POINT (96.1170552135016 94.8437336252519),2023-01-19-17:51:50,gzapkmvsmdbfngpkuuxx
klsvtaxxtxprqkpzdoyo,POINT (80.9676104674895 62.6236384152605),POINT (36.2414686714309 16.7516847159365),2023-01-19-17:51:50,fhjagdxagnzuymksqucf
eujmffltnahzrcjyjwjv,POINT (87.6793415543225 44.9423615298887),POINT (53.987808765508 35.264015569611),2023-01-19-17:51:50,hwoisnlcpaproflwrowf
sahxtpevxpgnmzhcgoxm,POINT (40.8112969257421 87.653984109866),POINT (22.6646605446615 66.7813496976369),2023-01-19-17:51:50,ktbprlviperlfvelzlwa
owrvhclttjaqsljclxzj,POINT (49.9544094836106 92.9968192693373),POINT (89.242552643451 49.0244776533182),2023-01-19-17:51:50,dufuhrgpbocokffxzmyt
fjjttmeqzjkabqaixmjj,POINT (22.1031112690087 29.1602767112204),POINT (24.2426223275375 81.2402829673995),2023-01-19-17:51:50,xerexgyclylvkoabdcat
sjxyreflbmarssresbza,POINT (75.2340339171006 68.7968310973049),POINT (23.766072680437 55.1316791902291),2023-01-19-17:51:50,tqbovnbavsjcdefchorv
wxztgmeufpvjiboaounl,POINT (56.9038163932103 95.6158373703402),POINT (23.2862698306631 96.7230830273055),2023-01-19-17:51:50,vglzhaimsmxwzvfkfjcr
ftwzthjjashcsagbjppk,POINT (80.9119138474708 36.8690670505429),POINT (79.0540438492694 47.9761317968221),2023-01-19-17:51:50,wchpgqeuoajctopnubyr
nwkcwvbylsygqyeqoyfd,POINT (71.9538842483915 77.5773762487764),POINT (81.0738148208415 14.911000086324),2023-01-19-17:51:50,ijnatgxfuzdgmqnafian
mlcpziduiklbxkmrkiqm,POINT (87.1514868270304 92.6772868589909),POINT (26.7760439343357 42.3201487793281),2023-01-19-17:51:50,xqcmcjglnpwcveskhpfe
xsiswtqutowvgyuipwxn,POINT (22.9881617219478 77.7819877584474),POINT (79.6847218314403 94.1780179581965),2023-01-19-17:51:50,wgwulqbbdabwmxuckhpl
pfjutfpkmoqsawyetjft,POINT (98.4839304151815 89.7745353246602),POINT (39.3365702580651 25.5104925192304),2023-01-19-17:51:50,bswzklfractmismofgkg
knjaesrdjyxrnwbwjlnu,POINT (77.6151360773792 4.5250395686553),POINT (73.0046046147269 95.8022293174504),2023-01-19-17:51:50,jnondhumefwzvuudjbpe
nrhjzzccwcianpdwnukn,POINT (50.4942305850125 44.9143435358546),POINT (14.6152961885659 9.283251068422),2023-01-19-17:51:50,ffdcngrnlsemdgfrmnmi
qizcabiadribvkkzarap,POINT (74.7615471086882 82.6698804471329),POINT (28.8481225940679 73.39964392616),2023-01-19-17:51:50,vrgdwrcafuidosyarufi
wjgwczjausjohqaftyzw,POINT (98.0705469183979 11.4199598174608),POINT (59.6849738815768 14.4393266900898),2023-01-19-17:51:50,iaaypemmrqeookytimpk
hvbpwokbutlzrkcdesmq,POINT (67.4013005144745 91.0045601304365),POINT (23.5201171925029 62.4514992196023),2023-01-19-17:51:50,gjgijdwppgutvnxctonn
famcqdxmfmllcsjqrait,POINT (2.1906351743017 61.0556861761419),POINT (35.9813131206337 96.8736890767787),2023-01-19-17:51:50,wiwhfohsndnrlcyexkic
zvrvupmzykjlvaeefuxj,POINT (76.9660348127363 87.4317675434455),POINT (81.4378080438033 59.1127683165281),2023-01-19-17:51:50,xgwytxcscdtqsvfetmya
crvxjyigivtftykfjsoa,POINT (83.2091382069207 64.2144976773026),POINT (8.9444593001887 84.0712885460612),2023-01-19-17:51:50,eoxberfzphdijyreljlo
ttjwosldtlsumhgnebqi,POINT (42.0683636579222 61.1772697604767),POINT (53.6691964730594 42.8467243854454),2023-01-19-17:51:50,dnqkobqmrvzcdmnpajkj
wvvcsmtnpaqcrkeomhli,POINT (81.9083329740186 35.8351294868547),POINT (32.4752402229468 48.5955401686727),2023-01-19-17:51:50,memgzsgsbjtsuboyeljl
gzdgkfuqklccmxewufoz,POINT (70.7842237384043 67.6323467198819),POINT (80.9049949032313 55.1768031448865),2023-01-19-17:51:50,gogggcyzhelnxxafwmpk
lwecgaalparvvmpruvpi,POINT (40.7835762282089 27.2147790830862),POINT (36.1240914280228 89.785292208541),2023-01-19-17:51:50,xfafsvuhkiefocksyybb
gxyimshvtfcqubvevdzv,POINT (79.4239876989019 86.2132361376311),POINT (87.0949660297588 42.5646782960683),2023-01-19-17:51:50,wcycqdieejswwfloseqm
ipruceugbqkttdiorcmu,POINT (47.5316817086332 43.12699829483),POINT (69.9328555560266 30.7396859079128),2023-01-19-17:51:50,camxyrgrgdklqdvyhara
gjrghiipzzicpgmktfoh,POINT (84.546117330609 3.3909935940853),POINT (62.0587938046542 66.5888964893456),2023-01-19-17:51:50,cgkoxyrfaakpntcofwxn
ffecvjaulmgqcuescsfs,POINT (28.3769004580133 70.3676554661172),POINT (69.6773588903322 26.9909655657527),2023-01-19-17:51:50,vyzruqroatoidhcigwcw
copumxykwqdxdcssbydp,POINT (45.9288085802881 45.8980042015598),POINT (29.2977322729281 52.0279740062106),2023-01-19-17:51:50,derypppdecyxmqrtfszv
luondjbsmavohypfubyg,POINT (87.6751629646868 85.1841763767259),POINT (92.0274493226158 60.9628971888522),2023-01-19-17:51:50,ekikjlfqillrutejkkwu
olvpfaimoohrjlpuniwr,POINT (62.9118168273656 14.664913188083),POINT (75.5488981130351 89.1828145362942),2023-01-19-17:51:50,stcxjmlcczhrdruptwgy
mkdayrnjulxlipirrhob,POINT (91.9942782699713 39.6770889984754),POINT (94.2098789102975 83.6751341096542),2023-01-19-17:51:50,kzvjspupbdqawogmspwy
nxaauxtanirwiixnipgq,POINT (31.8037503794033 12.9458332670028),POINT (51.1025482327161 45.8307261774563),2023-01-19-17:51:50,wrfowkikconvelycklci
ewyjlfvoywqpfllpybhj,POINT (44.1012065448502 95.7735088400872),POINT (34.8859323871425 96.2549025403846),2023-01-19-17:51:50,wwlndsqddicqsmazbcnd
vfmlotnssdbkxlgdmvvj,POINT (97.1270577724526 52.4760301993324),POINT (35.7002876410462 79.4495953170867),2023-01-19-17:51:50,fmmnigijrweuibhtemwm
xfknptkzpsxwpgybtnyw,POINT (54.633710582551 67.3952746133666),POINT (65.2670630522711 32.3075782880085),2023-01-19-17:51:50,ayofmzmxcggshsphgjdj
ivldfdespkcwntbexnml,POINT (71.1018568397753 79.6599947279598),POINT (20.8465247646127 40.4971652550669),2023-01-19-17:51:50,momgksiwfskzsqvbxbqb
dxatmfqrnryfpxddlsyb,POINT (4.8023148512421 4.4060267434315),POINT (18.5999756009203 48.4567843379221),2023-01-19-17:51:50,grinfooliggvifhihcny
vmftiywgtvxdxakodlun,POINT (6.3099146048209 80.7373004330146),POINT (22.7715179409062 26.5316802968649),2023-01-19-17:51:50,kcpbmxidfqmiakrczrul
tctfgbnaxxfvjjakfxun,POINT (25.8181436180919 57.1919429992105),POINT (15.4774125266306 23.6154184672928),2023-01-19-17:51:50,muhjhbsvboispebugbud
