region,origin_coord,destination_coord,datetime,datasource
acszenmmclwibbplldei,POINT (61.8508409353035 8.444693433481),POINT (80.5798073189944 51.2163598307134),2023-01-19-17:50:44,mcjhqwkbgsjvpjbqxdir
ngeprcvoprrynifrgwxc,POINT (82.5196835983027 69.5866416552265),POINT (15.1402633162625 27.0307030894168),2023-01-19-17:50:44,onjklnqfeaxvynkktzcc
dyntadljgogebxemmhxu,POINT (71.3810307393405 27.9542607599217),POINT (51.8062568107354 98.0803778373675),2023-01-19-17:50:44,twddctivmimcjhrfbtbu
qrutlmyekziqtyanndbh,POINT (18.824822734999 70.3097268008289),POINT (47.4571333353184 26.0457158884058),2023-01-19-17:50:44,zwgcszrwtdzufnhwpxzk
iyqrwhpsrtaocsbzzbrx,POINT (98.7537823778276 3.9501460917746),POINT (67.780443256844 78.9410111752629),2023-01-19-17:50:44,axtavleomjtxjkssubqu
orudrdzvhtuqmdnwtlaw,POINT (86.451718431466 14.2461526277649),POINT (71.2433663350607 76.2154034161963),2023-01-19-17:50:44,khbuokuinhklbtsvfosx
hxwivjjrvmkbherzjgln,POINT (28.0050133935502 55.6532892601581),POINT (28.6610876233092 89.5699769658922),2023-01-19-17:50:44,idrensthdpmwegkmgqmc
nxhfvkptfujpjpwxgdbs,POINT (60.1105237520582 74.7146236265546),POINT (95.1389095224634 85.666269110601),2023-01-19-17:50:44,azltmmrdatodxrnkyqfu
burluuoilecpduswckqc,POINT (12.5499565765375 37.7684830716822),POINT (19.671373105055 68.7104760018652),2023-01-19-17:50:44,mdkhtxneutojvweafvcm
xmzmxkcoibunxqgqilab,POINT (40.517836838293 51.8329750389408),POINT (86.5394152834523 30.7270067210783),2023-01-19-17:50:44,murzqbkcxubvjoxmxyaj
accknnbkwjnbcloniqri,POINT (50.6548686656353 30.9619857219804),POINT (95.0902282025702 49.2725531067201),2023-01-19-17:50:44,rshhbxqanadabpgzbqjm
pwlhctdrqxhhzppxfsxd,POINT (28.0597895907253 56.2552516660913),POINT (12.9542577562162 13.0677133224555),2023-01-19-17:50:44,pwuudgkzcrwhgmsvnnva
nrgmpzvfznvipdhdvgeb,POINT (30.956854895693 13.0804591116417),POINT (80.4011399499471 37.5177297857762),2023-01-19-17:50:44,wqgeukoyvpspmelyszzw
rxxdufkditswrgnzqucy,POINT (49.7544263468541 49.819238705358),POINT (4.6057405828851 33.2890082972306),2023-01-19-17:50:44,erhmgkdriavqpunryznv
wtkzqhfspwzyhvapuhze,POINT (72.4453853774169 60.9051458986121),POINT (63.6048420968357 71.9185245452151),2023-01-19-17:50:44,capssqexykzgbhdockxj
sxwadororxalkrkmmwtn,POINT (54.0710067001708 25.5419367253854),POINT (80.7584048491552 5.8989255481604),2023-01-19-17:50:44,cpqenwrjfvrojiuyvixu
egvvihifntiaxprnxikn,POINT (66.5437386445264 64.4517456634207),POINT (87.0375626682389 24.5793485901688),2023-01-19-17:50:44,mwhuktdzlksovvaimtih
xexhscmkmvrejdaevmqi,POINT (64.1402452854977 24.4605692538801),POINT (95.04180231619 21.8843297450434),2023-01-19-17:50:44,idlvaiwjyvroqyvpmbml
cnwkglgwthbixzavrdpg,POINT (70.2922853513979 22.2301094633357),POINT (46.5608113735946 82.7541892829481),2023-01-19-17:50:44,oojfbxqgadqqunanjoqf
rswjzyfzrnaexgjsqrvz,POINT (90.0916270346002 28.3628978469893),POINT (53.4666151611014 8.5745874963924),2023-01-19-17:50:44,qxdhydznjvzqsjwsyasf
ryvxgjceuttuvymawqwj,POINT (41.4541433084347 7.4291641069943),POINT (84.4584724028798 24.5856617600525),2023-01-19-17:50:44,koebgrfbukdommfkabwv
mkjamotujwngmwdrcerp,POINT (18.8432767634888 64.7175519037793),POINT (74.3385745007397 81.1057977050249),2023-01-19-17:50:44,bxngacdrsdghdbbwulyl
fzmkzsbhlpcsyqzugfrx,POINT (80.1717108396753 44.8371606454616),POINT (14.4943743863524 38.4164104617221),2023-01-19-17:50:44,ifvugixixtyuucxejpnc
zrdqsvblvpdpveikzrhn,POINT (44.6353861508801 3.9930267194954),POINT (30.1430298528603 98.6988072704925),2023-01-19-17:50:44,fyliimdckobzscxwmsnn
umkxlisvtcgpufguqjkf,POINT (34.6928916630971 36.974001623127),POINT (46.1990173106973 9.077139175415),2023-01-19-17:50:44,lzxgjtgrmtdghkkcktgs
rwczxjpjaaegqewolfrj,POINT (2.4014305046838 74.7486315279283),POINT (7.0808516148841 32.5840882651896),2023-01-19-17:50:44,pwpmekzvmsprygyvapag
xfdbuebkwxejqfxiaacq,POINT (38.10515221862 25.4982136604356),POINT (85.0973726799328 77.9942635793087),2023-01-19-17:50:44,cxxekuptbntltyqcnhio
vmxbcbyejgwkcqqkdatn,POINT (80.3473051035566 8.8770103649666),POINT (73.9422942552345 25.6109844743708),2023-01-19-17:50:44,vekaxkygcbayyxtoujbf
gtjquzemmvnvuoxdljmm,POINT (60.0970551702352 18.9413838713003),POINT (37.245806075479 13.5121156107118),2023-01-19-17:50:44,rbanhcdpxtpfptuwrllw
wvgaxgqlqgluquqtiygy,POINT (60.2727485921588 56.6289459997156),POINT (57.9441814633276 91.965317192007),2023-01-19-17:50:44,nhuugqtsnhwlhbcyqtrl
hfkbewdhozcewjhohwcy,POINT (51.0838353072243 26.2926508987249),POINT (64.0169519742495 68.2949575798682),2023-01-19-17:50:44,nzlsphzzswnircxwlbzn
eosroxfcdhqbunsbmenl,POINT (50.1965610399778 8.8087598407115),POINT (45.1773908469427 73.4532142864923),2023-01-19-17:50:44,idbsqpogqikzifeajgwa
risbsmjxlvsksnsetkku,POINT (56.0660553471094 61.2540755549406),POINT (25.647995800098 44.4840222926649),2023-01-19-17:50:44,gwwpehlzwkhddyjszmdl
kgupsdqvupcathzkquai,POINT (60.2030136645439 42.7725047653635),POINT (22.6420810956283 13.9402646628213),2023-01-19-17:50:44,wxufgymtrbfxiaskedmh
pqskzsejgkutgeybzgqr,POINT (10.8104585374139 69.5553849658687),POINT (50.4200060439737 69.693043524141),2023-01-19-17:50:44,hytiirrfrynnbopqfeqj
zmhvpborlgrduuflkqjg,POINT (66.1699711583543 34.5978366856446),POINT (35.7092569319003 54.4066685848872),2023-01-19-17:50:44,vowycnovmanahahcctha
ubdahpsjmhpqwvmbnejp,POINT (49.465755437694 92.1732809320394),POINT (14.6046984935789 97.3625833217589),2023-01-19-17:50:44,lfsrbzasrtfuuapnxfdv
ctngyqwuolwuvaszxpcx,POINT (64.6595657832344 88.4092303797257),POINT (25.2985616937117 85.1703416243975),2023-01-19-17:50:44,uusxqedxzxotmbecaedc
turbluqiphdlzcrpctgy,POINT (47.4879072021 37.6145263052527),POINT (68.7856105245462 77.2829538792751),2023-01-19-17:50:44,khrjmhpcojgzuruvnccc
xgcwiucrxfuanxzkvbyj,POINT (40.3001657554265 62.4705036065644),POINT (36.8606778784752 98.7514353385431),2023-01-19-17:50:44,ealsvopeuuxgvziruwdz
liostjsejdfyutjvejcp,POINT (49.9743173332968 54.8199685430149),POINT (48.7264293032161 18.6697578282831),2023-01-19-17:50:44,asdacslavruetblxotsz
nntehrhqgnfwjyciognb,POINT (4.2910331652707 10.3385799426093),POINT (36.6613119437779 47.8663412998853),2023-01-19-17:50:44,izcezciodmhcgsjmvona
vinmeitrnnspbuwikusy,POINT (79.7214825004424 35.6128344381034),POINT (38.513018244435 92.307011177629),2023-01-19-17:50:44,olhuxfopnpgwfbqmrasx
ohqfuvcyvywfhninjcrl,POINT (59.550895814379 9.5223026860671),POINT (89.0438811099144 9.6798289264782),2023-01-19-17:50:44,ffwwgqoyzfmifatdastv
pksvqamnmtqvvgtmdrbt,POINT (35.2856069061181 54.043805608224),POINT (54.7961507075417 53.6582658324291),2023-01-19-17:50:44,wnpudguoriidplkgaxrj
ywlldntyyccjdgwrsmom,POINT (51.3075790408328 33.3496926052709),POINT (48.8809006701981 35.8823326203402),2023-01-19-17:50:44,uxilvkuoreyljjooiqzj
lpusqurzsjynhsmvtdwd,POINT (90.4285751956298 76.4037899709221),POINT (1.3520912822201 12.410147010435),2023-01-19-17:50:44,hyyswixjjjdrelixkyer
wixmewenttdyykwicctw,POINT (58.5582885649488 83.2319499009573),POINT (83.6834787771763 85.0835592343055),2023-01-19-17:50:44,erovamyweknnqxefmqis
wzipxhufuzbdwbhuthte,POINT (9.5670781212366 45.1374958980241),POINT (70.8583710294561 2.2617110327885),2023-01-19-17:50:44,jkuoelbekfzdqrbajioe
vfqpgkpsxvnedqhkszps,POINT (27.7179740631184 90.9446989344814),POINT (86.2555172531463 56.8969896921457),2023-01-19-17:50:44,wgjtobmcggnxmsltelsx
kmxayvngxqiqbcbhnbtq,POINT (51.1620280312773 35.6673204478783),POINT (21.1939448888452 12.967574922004),2023-01-19-17:50:44,rwixruffmroxjhkwutcd
dywlidnvpawxfirbvjyk,POINT (3.8611318650465 41.8075690658944),POINT (8.7286806540447 78.295458167684),2023-01-19-17:50:44,mighrnyoguzfkvusgzja
kdafcpvkafxvqwmmklwm,POINT (77.5006571111447 15.5362504328782),POINT (3.8476006017 85.3752686578703),2023-01-19-17:50:44,gorhqfjylsabqjvpwmpg
ztavhmokklozvjcubyph,POINT (24.4446296128185 87.8792977526606),POINT (11.9865392516716 69.9200053263678),2023-01-19-17:50:44,wcwuvpexzuxvfnhvfjgq
jxmkqfdklkimrdzopxay,POINT (30.1065011654449 81.8542973399482),POINT (68.0984111688559 59.3217778986994),2023-01-19-17:50:44,tzpzyezflloejmdgulnq
xtrclpvljnuqgexsrvzg,POINT (52.6762545011342 62.3719065133508),POINT (17.7343529664408 60.3201558431438),2023-01-19-17:50:44,lnmnczikwlmrtaivdzxd
ebnajjnuzekhfvclcjjd,POINT (33.4777058354474 54.7560993858225),POINT (62.9613001013303 30.9198202599795),2023-01-19-17:50:44,hgxdxsjfpkwjjazkavpk
omgxgldnvouhzxokwlbv,POINT (87.4787185096432 85.2669746427786),POINT (16.7289948487753 31.9450895281926),2023-01-19-17:50:44,aebxvmjamvpxiywsmfcj
xfhuljzivzzrcozripug,POINT (76.0408037900316 1.4995694817567),POINT (21.8473380156608 39.6587071415952),2023-01-19-17:50:44,gqcrnlimutzyykilharg
hevnoqiflhwigcgfobtt,POINT (6.178745451543 36.2434832123791),POINT (54.3003689254171 67.1253938980409),2023-01-19-17:50:44,eyfphyhxxrvlabyxgtdr
jwpoeirbewfwirdgdnly,POINT (86.9783774701042 79.3405270217501),POINT (1.4714810835654 92.3357960569432),2023-01-19-17:50:44,nvwthjrhtioccvqqpqkl
clqvopuvikgzgkdbozak,POINT (21.2481714347768 36.0288858720906),POINT (34.6663911096174 19.4896900114382),2023-01-19-17:50:44,itleqhhtzmxhxqgjdley
blatqaeyrqnnuhqkhbju,POINT (93.7043902966386 15.5940353130586),POINT (98.2275179481376 82.3097982213875),2023-01-19-17:50:44,uqaohdkghyrgkawpnzlt
bhnlffqaeemcsrvnnrry,POINT (34.9066918720753 41.6587466169704),POINT (52.5493783819108 31.1478938230383),2023-01-19-17:50:44,rvtwvplgvgizeciysmok
sajmdsjvkksrniosjsss,POINT (45.2487510783139 39.4355614389739),POINT (15.8567553055396 46.5903726660806),2023-01-19-17:50:44,povvejvsjsuirxatqcdi
yidrmikthjnzpdghvcsy,POINT (1.7583888466819 87.7294991090892),POINT (28.1454292444839 28.1497947612262),2023-01-19-17:50:44,acglosknlquraewqjfcm
ivfvdracjurvuawckdro,POINT (10.8704336748227 21.871386189861),POINT (60.2103262595818 25.0537577330539),2023-01-19-17:50:44,nagkrhxligcotdnvtjjo
fhbwvjbhvgloeyzthhzq,POINT (98.2766666152941 68.9283879865141),POINT (20.5347283410675 56.415729571916),2023-01-19-17:50:44,tfhwetfskttwzsjyoqnj
wcavurjpmxseshyavlqb,POINT (32.4452684467174 3.120069403599),POINT (43.7082376474397 13.1226098213908),2023-01-19-17:50:44,stpttgqddrltpfwfoxzs
fnxaxcmijkextbwznruu,POINT (28.7527256051276 34.1133878015352),POINT (63.1771845852031 48.401491417648),2023-01-19-17:50:44,hpbgvmrssstouxfgbetq
lzjbrvquhabazsmtgwgh,POINT (51.1560353289105 19.7879958883472),POINT (14.1819002996141 43.8658984931933),2023-01-19-17:50:44,trbfjblkflvigwfxlcdu
evgqnbfhdwlgdhiyrjaz,POINT (62.7061506703624 4.3967732945996),POINT (77.3258151053247 35.8146293669442),2023-01-19-17:50:44,hrminpicwqgisxpulxth
qyefnfqtneawwzpsabpk,POINT (48.8639624510213 39.3018520970973),POINT (93.3727118680165 29.3581744868849),2023-01-19-17:50:44,iukvxiregxgykxoluxvw
eeifktyxyoyonfgjuthp,POINT (24.1430885699325 33.0880175635967),POINT (51.8289221706136 17.3049740240773),2023-01-19-17:50:44,acjhoxhbcqdwsvnqumws
jmpuckfnmhidowixbaal,POINT (89.3863952746566 20.7248121153402),POINT (90.9028989029513 51.0713390208318),2023-01-19-17:50:44,vfpjexvwlspjyxvvxeie
qpgquhrawwviqnxlpaja,POINT (69.1513677380518 93.7052880279847),POINT (65.9435632719671 50.4711109840514),2023-01-19-17:50:44,heytfqtnvqxxmeqnqdht
