region,origin_coord,destination_coord,datetime,datasource
ajmedhpibvpixobjkkyi,POINT (96.1586174455685 68.7757052377477),POINT (76.9979255763911 35.040265995129),2023-01-19-17:49:54,yjexzxrezkzovnnqjrby
wcckgegcftgzohtjfaxg,POINT (12.4005570333155 12.3032711642027),POINT (31.2427003665681 79.058676752408),2023-01-19-17:49:54,ipwimfeyzpzljpzxqcpj
snycdxmdjmszmdbzpvgv,POINT (22.1596693520635 85.9450245456572),POINT (50.017707675671 27.6545242629546),2023-01-19-17:49:54,xtiywwrppheavwhyvltn
cbrdydjeprnczbfrtwig,POINT (47.6389781279035 1.2294233967258),POINT (41.391200848166 3.8836270306181),2023-01-19-17:49:54,xlinngjgormaeowpjscq
ouikgafltwqrjfumhazi,POINT (72.0183999680759 61.5771033490832),POINT (9.6403421201632 93.8128517578262),2023-01-19-17:49:54,mdbrqmjcrjyoosbfytvb
szedkdpiicoecsfscejg,POINT (62.7847612077611 9.4058875543012),POINT (73.8420594259233 64.6487763575252),2023-01-19-17:49:54,uuucpkhgjjefgneksnbm
vbrivoomrlqhwgzuvodf,POINT (98.2151643409064 5.7083591976874),POINT (59.0774258799056 97.765920792366),2023-01-19-17:49:54,hbvkhcwefbfnkbwhaikj
cqxqxyqwkoodnwmpmokr,POINT (78.4051630701412 7.3995135787419),POINT (79.9853258505173 28.8367315970054),2023-01-19-17:49:54,aokbkjqhgexvmxdnkijv
wkkntondjbdeasfmjutz,POINT (75.2709630673676 9.0324789466636),POINT (42.7287212745076 61.0911168406131),2023-01-19-17:49:54,mvmczjrxktgbvghhgngl
gbiwelsixajxwvxdgvdk,POINT (39.339182886023 4.5697307048553),POINT (79.9664650685138 21.5964872787886),2023-01-19-17:49:54,bovfttgkmtgxyajrgwzk
pdgnjqcqihsrpeabcbja,POINT (53.7761970187125 92.5712050675653),POINT (23.7546946073694 4.2398295622467),2023-01-19-17:49:54,qqxxwovjnaolfpktytdl
iyxgehenvfbipgplfhvf,POINT (10.9957100583783 64.0722872928618),POINT (56.4973675344971 19.8092340413353),2023-01-19-17:49:54,ibsvugwvwkpdbdaisfpi
magzijivgqstlkmucdwx,POINT (7.4446095248892 11.7510607674685),POINT (14.3179578258804 48.764259756488),2023-01-19-17:49:54,kipxiieemftocuotpyds
jlhzvdulowarhckrikkj,POINT (94.9461391893199 45.9119805747084),POINT (42.0237256491049 49.503521507272),2023-01-19-17:49:54,odqhtdpyhkbaugabwsam
uohcfcnksxgkkhgrcdnt,POINT (85.8313747941343 69.3372538828584),POINT (55.5652994586447 45.5710115876542),2023-01-19-17:49:54,pudezvvppylfaudtphzx
xsjhtubfgbizojksawiv,POINT (31.0776933820964 52.2631166720133),POINT (60.3235546680021 38.3930428014879),2023-01-19-17:49:54,guzmutvwcstfodynwdwp
zscdaznjqgknhbgoqgnz,POINT (83.9713431514979 97.1729883546468),POINT (47.4004811059439 93.5494792469523),2023-01-19-17:49:54,sehdetnqxsbvrehrxney
lcyvwrgxqutciftersyw,POINT (11.1240133373208 61.4594817817259),POINT (65.5987579910537 31.2343553745163),2023-01-19-17:49:54,tapzdtqkrxbbsvqoggyc
clsbhnjfchynvksgikpq,POINT (3.9121008753804 92.6211368117602),POINT (5.7805704935787 2.3664783187483),2023-01-19-17:49:54,dalxledlaszwhntwmyto
txnjqedfjpzhabotazhn,POINT (72.8116036765116 64.9237322346433),POINT (53.1947870445669 32.1517432829909),2023-01-19-17:49:54,kdhqeglctvpcmccdefvk
